id,nome,apelido,cidade,estado,regiao,proprietario, capacidade , oficial ,iluminacao
280,Juca Ribeiro,,Uberlândia,Minas Gerais,Sudeste,P,7000,7000,Sim
281,Júlio Aguiar,,Patrocínio,Minas Gerais,Sudeste,M,1500,3000,Sim
282,Louis Ensch,Campo do Social,Coronel Feliciano,Minas Gerais,Sudeste,P,2290,3600,Sim
283,Magalhães Pinto ,Mineirão,Belo Horizonte,Minas Gerais,Sudeste,E,61846,75783,Sim
284,Mario Ferreira Guimarães,Baleião,Belo Horizonte,Minas Gerais,Sudeste,M,1800,1800,Não
285,Mário Helênio,,Juiz de Fora,Minas Gerais,Sudeste,M,14185,30000,Sim
286,Nassari Mattar,,Teófilo Otoni,Minas Gerais,Sudeste,P,5000,5000,Não
287,Oswaldo Nascimento,,Pirapora,Minas Gerais,Sudeste,P,1500,1500,Não
288,Parque do Azulão,,Andradas,Minas Gerais,Sudeste,M,7500,7500,Sim
289,Pedro Anício Maia,,Minas Novas,Minas Gerais,Sudeste,M,2000,2000,Não
290,Raimundo Sampaio,Independência,Belo Horizonte,Minas Gerais,Sudeste,P,23018,23018,Sim
291,Ribeiro Junqueira,,Leopoldina,Minas Gerais,Sudeste,P,1600,1600,Não
292,Ronaldo Junqueira,Ronaldão,Poços de Caldas,Minas Gerais,Sudeste,M,7600,7600,Sim
293,Rubro Negro,,Varginha,Minas Gerais,Sudeste,M,2000,2000,Sim
294,Sebastião Cesar da Silva,,Araguari,Minas Gerais,Sudeste,P,2200,2600,Sim
295,Senador Zezé Perrela,Arena dos Calçados,Nova Serrana,Minas Gerais,Sudeste,M,10000,10000,Sim
296,Soares de Azevedo,Campo do Nacional,Muriaé,Minas Gerais,Sudeste,P,10000,13971,Sim
297,Starling Soares,,Passos,Minas Gerais,Sudeste,M,5400,5400,Sim
298,Victor Andrade Brito,Frimisa,Santa Luzia,Minas Gerais,Sudeste,M,3200,3200,Sim
299,Vila Olimpica,,Belo Horizonte,Minas Gerais,Sudeste,P,1000,1000,Não
300,Waldemar Teixeira de Farias,Farião,Divinópolis,Minas Gerais,Sudeste,P ,4080,4080,Sim
301,Waldir Melo,,Borda da Mata,Minas Gerais,Sudeste,M,5000,5000,Não
302,Zama Maciel,,Patos de Minas,Minas Gerais,Sudeste,P,4858,4858,Sim
303,Abelardo Conduru,,Belém,Pará,Norte,P,500,500,Não
304,Antônio Dias,Navegantão,Tucuruí,Pará,Norte,M,8000,8000,Sim
305,Arena do Município Verde,Arena Verde,Paragominas,Pará,Norte,M,9878,9878,Sim
306,Edilson Abreu,Abreuzão,Santa Izabel,Pará,Norte,M,600,2000,Não
307,Estadual de Santarém (Jader Barbalho),Colosso do Tapajós,Santarém,Pará,Norte,E,8000,12000,Sim
308,Evandro Almeida,Baenão,Belém,Pará,Norte,P,12000,12000,Sim
309,Francisco Vasques,Souza,Belém,Pará,Norte,P,4900,1900,Não
310,Humberto Parente,,Abaetetuba,Pará,Norte,P,3100,3100,Sim
311,João Jaó,Jaozão,Mãe do Rio,Pará,Norte,M,8000,8000,Não
312,Leônidas Sobré de Castro,Curuzu,Belém,Pará,Norte,P,16200,16200,Sim
313,Mario Couto Neto,Coutão,Santa Cruz,Pará,Norte,P,1500,1500,Não
314,Maximino Porpino Filho,Modelão,Castanhal,Pará,Norte,M,5000,5000,Sim
315,Olímpico do Pará,Mangueirão,Belém,Pará,Norte,E,45007,45007,Sim
316,Orfelino Martins Valente,Parque do Bacurau,Cametá,Pará,Norte,M,8200,10230,Sim
317,Raimundo Roseno de Araújo,Rosenão ,Paraupébas,Pará,Norte,M,5000,5000,Sim
318,São Benedito,Diogão,Bragança,Pará,Norte,P,9090,10000,Não
319,Zinho Oliveira,Zinho Oliveira,Marabá,Pará,Norte,M,5000,5000,Sim
320,Antônio Mariz,Marizão,Sousa,Paraíba,Nordeste,M,5400,5400,Sim
321,Ernani Sátyro,Amigão,Campina Grande,Paraíba,Nordeste,E,19000,19000,Sim
322,Evandro Lelis,Mangabeirão,João Pessoa,Paraíba,Nordeste,P,2000,2000,Não
323,Frederico Lundregen,Lundregão,Caaporã,Paraíba,Nordeste,M,3000,3000,Não
324,José Américo de Almeida Filho ,Almeidão,João Pessoa,Paraíba,Nordeste,E,19000,19000,Sim
325,José Barros Sobrinho,Zezão,Itaporanga,Paraíba,Nordeste,M,3000,3000,Sim
326,José Cavalcanti,Zé Cavalcanti,Patos,Paraíba,Nordeste,M,5170,5170,Sim
327,Juraci Pedro Gomes,Juracizão,João Pessoa,Paraíba,Nordeste,M,3000,3000,Não
328,Leonardo da Silveira,Estádio da Graça,João Pessoa,Paraíba,Nordeste,M,6400,6400,Sim
329,Perpétuo Correia de Lima,Perpetão,Cajazeiras,Paraíba,Nordeste,E,1600,1600,Sim
330,Presidente Vargas,PV,Campina Grande,Paraíba,Nordeste,P,5000,5000,Sim
331,Sílvio Porto,Sílvio Porto,Guarabira,Paraíba,Nordeste,M,1540,1540,Sim
332,Tadeu Matias,Tadeuzão,Sapé,Paraíba,Nordeste,M,1000,1000,Não
333,Virgínio Veloso Borges,Teixeirão,Santa Rita,Paraíba,Nordeste,M,4500,4500,Sim
334,ABC,Estádio do ABC,Foz do Iguaçu,Paraná,Sul,P,5000,6968,Sim
335,14 De Dezembro,,Toledo,Paraná,Sul,M,12500,15000,Sim
336,Albino Turbay,Olímpico,Cianorte,Paraná,Sul,M,2254,4000,Sim
337,Anilado,Anilado,Francisco Beltrão,Paraná,Sul,M,2000,5460,Sim
338,Antiocho Pereira,Antiocho,União da Vitória,Paraná,Sul,M,1100,4087,Sim
339,Arena Vermelha,,Curitiba,Paraná,Sul,M,2000,2000,Sim
340,Arnaldo Bussato,Olímpico Regional,Cascavel,Paraná,Sul,M,9999,25000,Sim
341,Atílio Gionedes,Estádio do Internacional,Campo Largo,Paraná,Sul,P,4198,4198,Sim
342,Bom Jesus da Lapa,Mun. Olímpio Barreto,Apucarana,Paraná,Sul,M,9950,10682,Sim
343,C. E. Roberto Brzezinski,,Campo Mourão,Paraná,Sul,M,2500,3500,Sim
344,C.E. Fernando Charbud Farah,Caranguejão,Paranaguá,Paraná,Sul,M,7781,9070,Sim
345,C.E. Umuarama,Complexo Esportivo,Umuarama,Paraná,Sul,M,10000,11000,Não
346,Cambará,Regional,Cambará,Paraná,Sul,P,5000,8000,Não
347,Centro Poliesportivo Pinheirão,Pinheirão,Curitiba,Paraná,Sul,P,35000,35000,Sim
348,Comendador Luiz Meneghel,Alto da Vila Maria,Bandeirantes,Paraná,Sul,P,5000,6000,Sim
349,Coronel Emílio Gomes,,Irati,Paraná,Sul,P,4322,4579,Não
350,Dr. Durval José da Silva,Municipal de Assaí,Assaí,Paraná,Sul,M,2000,2000,Não
351,Durival Britto e Silva,Vila Capanema,Curitiba,Paraná,Sul,P,17140,20083,Sim
352,Edvar Sávio,,Santa Terezinha de Itaipú,Paraná,Sul,M,800,800,Sim
353,Erich Georg,Estádio do Nacional,Rolândia,Paraná,Sul,M,1818,2050,Não
354,Érton Coelho Queiroz,Vila Olímpica,Curitiba,Paraná,Sul,P,500,10000,Não
355,Éxaro Menk,,Sertanópolis,Paraná,Sul,M,1000,1000,Não
356,Francisco Borges de Campos,,Colorado,Paraná,Sul,M,1000,1400,Sim
357,Francisco Muraro,,Curitiba,Paraná,Sul,P,800,800,Sim
358,Francisco Zellerhoff Filho,,Nova Esperança,Paraná,Sul,M,500,540,Sim
359,Germano Krugrer,Vilas Oficinas,Ponta Grossa,Paraná,Sul,P,8000,8832,Sim
360,Jacy Scaff,Do Café,Londrina,Paraná,Sul,M,30000,31000,Sim
361,Janguito Malucelli,Eco-Estádio,Curitiba,Paraná,Sul,P,3150,4200,Sim
362,João Cavalcanti de Menezes,,Engenheiro Beltrão,Paraná,Sul,M,795,894,Não
363,Joaquim Américo Guimarães,Arena da Baixada,Curitiba,Paraná,Sul,P,40305,42372,Sim
364,José Chiappin,Dos Pássaros,Arapongas,Paraná,Sul,M,9500,10000,Sim
365,José Eleotério da Silva,,Sto. Antônio da Platina,Paraná,Sul,M,2843,3000,Sim
366,José Ferreira de Almeida,,Palmas,Paraná,Sul,M,900,912,Não
367,José Garbelini,Da Curva,Cambé,Paraná,Sul,M,2200,2200,Não
368,Lucio Pepino,Gigante da Baixada,Umuarama,Paraná,Sul,M,3000,6584,Não
369,Major Antônio Couto Pereira,Couto Pereira,Curitiba,Paraná,Sul,P,40502,40502,Sim
370,Nelson Medrado Dias,Leão da Estradinha,Paranaguá,Paraná,Sul,P,3000,4000,Sim
371,Newton Agibert,Estádio Municipal,Prudentópolis,Paraná,Sul,M,2984,3090,Não
372,Orlando Rinaldin,,Curitiba,Paraná,Sul,P,2000,2000,Sim
373,Os Pioneiros,Os Pioneiros,Pato Branco,Paraná,Sul,M,2100,2100,Sim
374,Pedro Basso,Estádio de ABC,Foz do Iguaçú,Paraná,Sul,P,5000,6968,Não
375,Pedro Vilela,,Jacarezinho,Paraná,Sul,M,3000,3220,Não
376,Pinhão,Do Xingú,São José dos Pinhais,Paraná,Sul,M,3840,5200,Não
377,Sérgio Vitor Mega,,Centenário do Sul,Paraná,Sul,M,1300,1348,Não
378,Ubirajara Medeiros,Campo da Vila,Cornélio Procópio,Paraná,Sul,M,2580,4080,Sim
379,Vergínio Bortoli,,Ipiporã,Paraná,Sul,M,800,816,Sim
380,Vitorino Gonçalves Dias,VGD,Londrina,Paraná,Sul,P,7000,10000,Sim
381,Waldemiro Wagner,Felipão,Paranavaí,Paraná,Sul,M,4000,9999,Sim
382,Waldomiro Gelinski,Campo do Batel,Guarapuava,Paraná,Sul,P,3516,3516,Não
383,Willie Davids,Regional,Maringá,Paraná,Sul,M,16226,20000,Sim
384,Theodoro Colombelli,Ninho da Cobra,Cascavel,Paraná,Sul,M,900,2400,Não
385,Ademir Cunha,,Paulista,Pernambuco,Nordeste,M,12000,12000,Sim
386,Agamenón Magalhães,,Goiana,Pernambuco,Nordeste,M,1300,1300,Sim
387,Aldemar da Costa Carvalho,Ilha do Retiro,Recife,Pernambuco,Nordeste,P,32983,32983,Sim
388,Anteógenes Chaves,,Catende,Pernambuco,Nordeste,M,3000,3000,Sim
389,Antônio Dourado,,Ipojuca,Pernambuco,Nordeste,M,3000,3000,Sim
390,Antônio Galdêncio Freire,Galdenção,Itacuruba,Pernambuco,Nordeste,M,5000,5000,Sim
391,Antônio Inácio de Souza,Vera Cruz,Caruaru,Pernambuco,Nordeste,P,6000,6000,Sim
392,Arena Pernambuco,,São Lourenço da Mata,Pernambuco,Nordeste,E,44300,44300,Sim
393,Arthur Tavares de Melo,,Bonito,Pernambuco,Nordeste,M,4000,4000,Sim
394,Aureo Bradley,,Arcoverde,Pernambuco,Nordeste,M,3000,3000,Sim
395,Carlos Alberto Gomes de Oliveira,,Surubim,Pernambuco,Nordeste,M,3500,3500,Sim
396,Cornélio de Barros Muniz,,Salgueiro,Pernambuco,Nordeste,M,12070,12070,Sim
397,Edvanes Nascimento,,Santa Maria da Boa Vista,Pernambuco,Nordeste,M,5000,5000,Sim
398,Eládio de Barros Carvalho,Aflitos,Recife,Pernambuco,Nordeste,P,22856,22856,Sim
399,Eugênio de Araújo,Olindão,Olinda,Pernambuco,Nordeste,M,4000,4000,Sim
400,Ewerson Simões,Barbosão,Chã Grande,Pernambuco,Nordeste,M,3400,3400,Sim
401,Ferreira Lima,,Timbaúba,Pernambuco,Nordeste,M,3750,3750,Sim
402,Gileno de Carli,,Cabo de Santo Agostinho,Pernambuco,Nordeste,M,5459,5459,Sim
403,Gilson Tirburtino de Souza,Chapadão do Araripe,Araripina,Pernambuco,Nordeste,M,5341,5341,Sim
404,Jefferson de Freitas,,Jaboatão dos Guararapes,Pernambuco,Nordeste,M,2000,2000,Sim
405,Joaquim de Brito,,Pesqueira,Pernambuco,Nordeste,M,1800,1800,Sim
406,José do Rego Maciel,Arruda,Recife,Pernambuco,Nordeste,P,60044,60044,Sim
407,José Mendonça Bezerra,Mendonção/SESC,Belo Jardim,Pernambuco,Nordeste,P,7050,7050,Sim
408,José Joaquim de Albertin,,Vicência,Pernambuco,Nordeste,M,5500,5500,Sim
409,José Vareda,,Limoeiro ,Pernambuco,Nordeste,M,5000,5000,Sim
410,Luíz José de Lacerda,Lacerdão,Caruaru,Pernambuco,Nordeste,P,19478,19478,Sim
411,Manoel Anizio Mota,,Petrolândia,Pernambuco,Nordeste,M,5000,5000,Sim
412,Marco Antônio Maciel,Gigante do Agreste,Garanhuns,Pernambuco,Nordeste,M,6356,6356,Sim
413,Moacir Soares,,Cupira,Pernambuco,Nordeste,M,1500,1500,Não
414,Municipal de Carpina,,Carpina,Pernambuco,Nordeste,M,3500,3500,Sim
415,Nildo Pereira de Menezes,Pereirão,Serra Talhada,Pernambuco,Nordeste,M,5000,5000,Sim
416,Nossa Senhora do Ó,Municipal,Ipojuca,Pernambuco,Nordeste,M,5000,5000,Sim
417,Olívio Lemos ,Altinense,Altinho,Pernambuco,Nordeste,P,3012,3012,Sim
418,Otávio Limeira Alves,Limeirão,Santa Cruz do Capibaribe ,Pernambuco,Nordeste,P,5039,5039,Sim
419,Paulo de Souza Coelho,,Petrolina,Pernambuco,Nordeste,M,5000,5000,Sim
420,Professor Luiz Alexandrino,,Camaragibe,Pernambuco,Nordeste,M,2000,2000,Sim
421,Severino Cândido Carneiro,Carneirão,Vitória de Santo Antão,Pernambuco,Nordeste,M,10911,10911,Sim
422,Valdemar Viana de Araújo,,Afogados da Ingazeira,Pernambuco,Nordeste,M,1735,1735,Não
423,Walter Dantas Caldeira,,Lagoa de Itaenga,Pernambuco,Nordeste,M,3000,3000,Não
424,Centro Esportivo Dirceu Arcoverde,Verdinho,Parnaíba,Piauí,Nordeste,P,4328,4328,Sim
425,Deusdeth de Melo,,Campo Maior,Piauí,Nordeste,M,4000,4000,Sim
426,Gerson Campos,,Oeiras,Piauí,Nordeste,M,4000,4000,Sim
427,Governador Alberto Silva,Albertão,Teresina,Piauí,Nordeste,E,52296,52296,Sim
428,Helvídio Nunes,,Picos,Piauí,Nordeste,M,5000,5400,Sim
429,Juca Fortes,,Barras,Piauí,Nordeste,M,4870,4870,Sim
430,Lindolfo Monteiro,Lindolfinho,Teresina,Piauí,Nordeste,M,5144,5144,Sim
431,Manoel Freitas Soares,Duduzão,Luiz Correia,Piauí,Nordeste,M,3000,3000,Não
432,Mão Santa,Piscinão,Parnaíba,Piauí,Nordeste,M,4146,4146,Sim
433,Tibério Nunes,Tiberão,Floriano,Piauí,Nordeste,M,5398,5398,Sim
434,Ytacoatiara,Arena Colorada,Piripiri,Piauí,Nordeste,M,5830,5830,Sim
435,Alair Corrêa,Correão,Cabo Frio,Rio de Janeiro,Sudeste,M,522,2611,Sim
436,Aloísio Rodrigues de Lima,Catarinão,São Gonçalo,Rio de Janeiro,Sudeste,P,2000,2000,Não
437,Alziro de Almeida,Alzirão,Itaboraí,Rio de Janeiro,Sudeste,M,900,900,Não
438,Aniceto Moscoso,Conselheiro Galvão,Rio de Janeiro,Rio de Janeiro,Sudeste,P,1709,2136,Não
439,Antônio Carneiro,Carneirão,Quissamã,Rio de Janeiro,Sudeste,M,370,370,Não
440,Antônio Ferreira de Medeiros,Ferreirão,Cardoso Moreira,Rio de Janeiro,Sudeste,P,900,3000,Não
441,Antônio Gomes Viana,,Carapebus,Rio de Janeiro,Sudeste,P,10000,10000,Não
442,Antônio Mourão Vieira Filho,Bariri,Rio de Janeiro,Rio de Janeiro,Sudeste,P,4980,8300,Sim
443,Antônio Salvatore,,Teresópolis,Rio de Janeiro,Sudeste,P,8000,8000,Não
444,Arthur Antunes Coimbra,Antunes,Rio de Janeiro,Rio de Janeiro,Sudeste,P,774,774,Sim
445,Arthur Sendas,Sendolândia,São João de Meriti,Rio de Janeiro,Sudeste,P,560,560,Não
446,Ary de Oliveira e Souza,Arizão,Campos,Rio de Janeiro,Sudeste,P,5800,5800,Sim
447,Atílio Marotti,,Petrópolis,Rio de Janeiro,Sudeste,P,8500,8500,Não
448,Cabuçu,,Rio de Janeiro,Rio de Janeiro,Sudeste,P,400,400,Não
449,Campo dos Cordeiros,,São Gonçalo,Rio de Janeiro,Sudeste,P,15000,15000,Não
450,Carmo Arenari Filho,,Rio de Janeiro,Rio de Janeiro,Sudeste,P,500,500,Não
451,Cláudio Moacyr Azevedo,Moacyrzão,Macaé,Rio de Janeiro,Sudeste,P,15000,15000,Sim
452,Carlos Gonçalves,Motorista,Rio Bonito,Rio de Janeiro,Sudeste,P,300,300,Não
453,De Los Larios,Los Larios,Duque de Caxias,Rio de Janeiro,Sudeste,P,5088,6300,Sim
454,Eduardo Guinle,,Nova Friburgo,Rio de Janeiro,Sudeste,M,4750,5500,Sim
455,Eduardo Viana,Toca Capirava,Japeri,Rio de Janeiro,Sudeste,P,1000,1000,Não
456,Elcyr Resende de Mendonça,Bacaxá,Saquarema,Rio de Janeiro,Sudeste,P,4315,2058,Sim
457,Eustáquio Marques,Estádio do Divino,Rio de Janeiro,Rio de Janeiro,Sudeste,P,1000,1000,Não
458,Expedicionário,,Macaé,Rio de Janeiro,Sudeste,P,7500,7500,Não
459,Figueira de Melo,Figueirinha,Rio de Janeiro,Rio de Janeiro,Sudeste,P ,800,800,Não
460,Giulite Coutinho,Edson Passos,Edson Passos,Rio de Janeiro,Sudeste,P,13544,13544,Sim
461,Guilherme da Silveira Filho,Moça Bonita,Rio de Janeiro,Rio de Janeiro,Sudeste,P,6989,9024,Sim
462,Helio Rodrigues da Siqueira,Municipal Itacuruça,Itacuruça,Rio de Janeiro,Sudeste,M,400,400,Não
463,Hermano Victor Meguelle,,Itaguaí,Rio de Janeiro,Sudeste,M,500,500,Não
464,Hermenegildo Barcelos,Barcelão,Arraial do Cabo,Rio de Janeiro,Sudeste,M,4500,4500,Sim
465,Ítalo Del Cima,,Rio de Janeiro,Rio de Janeiro,Sudeste,P,18000,18000,Não
466,Jair Carneiro Toscano de Brito,,Angra dos Reis,Rio de Janeiro,Sudeste,M,500,1500,Não
467,Jair Pereira da Silva,,São Gonçalo,Rio de Janeiro,Sudeste,P,2000,2000,Não
468,Jair Siqueira Bittencourt,,Itaperuna,Rio de Janeiro,Sudeste,P,10000,10000,Não
469,Janio de Moraes,Laranjão,Nova Iguaçu,Rio de Janeiro,Sudeste,P,1810,1810,Não
470,João Francisco,Estádio do Ceres,Rio de janeiro,Rio de Janeiro,Sudeste,P,3000,3000,Não
471,Joaquim de Almeida Flores,,Nilópolis,Rio de Janeiro,Sudeste,P,5000,5000,Não
472,Joel Pereira,Pereirão,Nova Iguaçu,Rio de Janeiro,Sudeste,P,1000,1000,Não
473,Jornalista Mário Filho,Maracanã,Rio de Janeiro,Rio de Janeiro,Sudeste,E,78838,78838,Sim
474,José Bastos Padilha,Da Gávea,Rio de Janeiro,Rio de Janeiro,Sudeste,P,4000,4000,Não
475,José de Alvarenga,Alvarengão,Belford Roxo,Rio de Janeiro,Sudeste,P,4000,4000,Não
476,José Gonçalves Brandão Filho,,Aperibé,Rio de Janeiro,Sudeste,P,1000,1000,Não
477,José Maria de Brito Barros,,Mangaratiba,Rio de Janeiro,Sudeste,M,600,600,Não
478,Leonidas da Silva,Teixeira de Castro,Rio de Janeiro,Rio de Janeiro,Sudeste,P,836,2390,Não
479,Lourival Gomes de Almeida,Lourivalzão,Sampaio Correa,Rio de Janeiro,Sudeste,P,1800,1800,Não
480,Luso Brasileiro,,Rio de Janeiro,Rio de Janeiro,Sudeste,P,2000,4697,Sim
481,Manoel José Vianna de Sá,,São João da Barra,Rio de Janeiro,Sudeste,M,900,1824,Não
482,Manoel Schwartz,Laranjeiras,Rio de Janeiro,Rio de Janeiro,Sudeste,P,2000,2000,Não
483,Marcelo de Moura e Souza,Marcelão,Três Rios,Rio de Janeiro,Sudeste,P,2200,2200,Não
484,Mario Castanho,Arena Guanabara,Araruama,Rio de Janeiro,Sudeste,P,10000,10000,Não
485,Mestre Telê Santana,Maracanazinho,Duque de Caxias,Rio de Janeiro,Sudeste,M,2000,2000,Sim
486,Mestre Ziza,Caio Martins,Niterói,Rio de Janeiro,Sudeste,P,12000,12000,Sim
487,Municipal de Búzios,SE Buzios,Búzios,Rio de Janeiro,Sudeste,M,1000,1000,Não
488,Municipal de Resende,Do Trabalhador,Resende,Rio de Janeiro,Sudeste,M,950,4600,Não
489,Nielsen Louzada,Louzadão,Mesquita,Rio de Janeiro,Sudeste,P,6000,6000,Não
490,Nilton Santos,Engenhão,Rio de Janeiro,Rio de Janeiro,Sudeste,M,34171,45000,Sim
491,Nivaldo Pereira,Nivaldão,Queimados,Rio de Janeiro,Sudeste,P,160,2184,Não
492,Odair Gama,,Três Rios,Rio de Janeiro,Sudeste,P,10000,10000,Não
493,Oswaldo Delegado de Moraes,,Paracambi,Rio de Janeiro,Sudeste,P,1000,1000,Não
494,Ozório Junior,,Petropolis,Rio de Janeiro,Sudeste,P,5000,5000,Não
495,Paulo Fernandes,Royal Barra do Parai,Barra do Piraí,Rio de Janeiro,Sudeste,P,6000,6000,Não
496,Plínio Bastos Barros,,Miracema,Rio de Janeiro,Sudeste,M,400,400,Não
497,Pref. Ismael de Souza Leão do Sul,Leão do Sul,Barra Mansa,Rio de Janeiro,Sudeste,M,1000,2000,Não
498,Romário de Souza Faria,Marrentão,Xerém,Rio de Janeiro,Sudeste,P,3334,3334,Sim
499,São Januário,São Januário,Rio de Janeiro,Rio de Janeiro,Sudeste,P,21880,24584,Sim
500,Sylvio Raulino de Oliveira,Da Cidadania,Volta Redonda,Rio de Janeiro,Sudeste,M,18230,20255,Sim
501,Waldemar Tardio,,São Pedro da Aldeia,Rio de Janeiro,Sudeste,M,500,500,Não
502,Waldo Carneiro Xavier,,Santo Antônio de Pádua,Rio de Janeiro,Sudeste,M,850,3350,Não
503,9 de Janeiro,,Pau dos Ferros,Rio Grande do Norte,Nordeste,M,4746,4746,Sim
504,Arena das Dunas, ,Natal,Rio Grande do Norte,Nordeste,P,32050,32050,Sim
505,Dinarte de Medeiros Mariz,Marizão,Caicó,Rio Grande do Norte,Nordeste,E,3000,12000,Sim
506,Edgar Borges Montenegro,Edgarzão,Assu,Rio Grande do Norte,Nordeste,P,4200,4200,Sim
507,Iberê Ferreira de Souza,Iberezão,Santa Cruz ,Rio Grande do Norte,Nordeste,M,4403,5013,Sim
508,João Pedro Filho,Pajesão,Guamaré,Rio Grande do Norte,Nordeste,M,4050,4050,Sim
509,José Bezerra,Bezerrão,Currais Novos,Rio Grande do Norte,Nordeste,M,1600,1600,Sim
510,José Nazareno do Nascimento,Nazarenão,Goianinha,Rio Grande do Norte,Nordeste,M,4100,4100,Sim
511,Juvenal Lamartine,JL,Natal,Rio Grande do Norte,Nordeste,P,3000,3000,Não
512,Laurentino Bezerra,,Parelhas,Rio Grande do Norte,Nordeste,M,600,600,Não
513,Luís Rios Bacurau,Ninho do Periquito,São Gonçalo,Rio Grande do Norte,Nordeste,P,2067,2167,Sim
514,Manoel Dantas Barretto,Barrettão,Ceará Mirim,Rio Grande do Norte,Nordeste,M,9994,10068,Sim
515,Manoel Leonardo Nogueira,Nogueirão,Mossoró,Rio Grande do Norte,Nordeste,P,4000,10000,Sim
516,Maria Lamas Farache,Frasqueirão,Natal,Rio Grande do Norte,Nordeste,P,14740,15082,Sim
517,Walter Bichão,Walter Bichão,Macau,Rio Grande do Norte,Nordeste,M,3000,3000,Sim
518,19 de Outubro,,Ijuí,Rio Grande do Sul,Sul,P ,5217,5217,Sim
519,Alberto Carlos Schwingler,,Igrejinha,Rio Grande do Sul,Sul,P,2500,2500,Sim
520,Alcides Santa Rosa,,Garibldi,Rio Grande do Sul,Sul,P,2000,5000,Sim
521,Aldo Dapuzzo,,Rio Grande,Rio Grande do Sul,Sul,P,3500,3500,Sim
522,Alfredo Jaconi,,Caxias do Sul,Rio Grande do Sul,Sul,P,19924,19924,Sim
523,Aloysio Valentin Schwertner,,Estrela,Rio Grande do Sul,Sul,M,2800,2800,Não
524,Altos da Glória,,Vacaria,Rio Grande do Sul,Sul,P,2410,3000,Sim
525,Amaro Cassep,,Rio Pardo,Rio Grande do Sul,Sul,P,1133,1133,Não
526,Antônio David Farina,,Veranópolis,Rio Grande do Sul,Sul,M,4720,5000,Sim
527,Antônio Magalhães Russel,Estrela D'Alva,Bagé,Rio Grande do Sul,Sul,P,3000,10000,Sim
528,Antônio Vieira Ramos,Vieirão,Gravataí,Rio Grande do Sul,Sul,P,4700,4700,Sim
529,Arena Alviazul,,Lajeado,Rio Grande do Sul,Sul,P,4266,4266,Sim
530,Arena do Grêmio,Arena Portoalegrense,Porto Alegre,Rio Grande do Sul,Sul,P,55662,55662,Sim
531,Aristides Bertuol,,Bento Gonçalves,Rio Grande do Sul,Sul,P,3500,3500,Não
532,Arthur Lawson,,Rio Grande,Rio Grande do Sul,Sul,P,3000,3000,Sim
533,Arthur Mesquita Dias,,Sapucaia do Sul,Rio Grande do Sul,Sul,M,2500,2500,Não
534,Azalobão,,Nova Petrópolis,Rio Grande do Sul,Sul,P,2500,2500,Não
535,Bento da Silva Freitas,Bento Freitas,Pelotas,Rio Grande do Sul,Sul,P ,5000,5000,Sim
536,Breno Guimarães,,Guaíba,Rio Grande do Sul,Sul,P,1000,1000,Não
537,Boca do Lobo,,Pelotas,Rio Grande do Sul,Sul,P,15478,15478,Sim
538,Carlos Bebber,,Marau,Rio Grande do Sul,Sul,M,2000,2000,Sim
539,Carlos Denardin,,Santa Rosa,Rio Grande do Sul,Sul,M,3500,3500,Sim
540,Carlos Jacob Simon,,Ibirubá,Rio Grande do Sul,Sul,P,3000,3000,Não
541,Castanheiras,,Farroupilha,Rio Grande do Sul,Sul,P,4500,4500,Sim
542,Colosso da Lagoa,,Erechim,Rio Grande do Sul,Sul,P,22000,22000,Sim
543,Complexo Esportivo da PUC,,Porto Alegre,Rio Grande do Sul,Sul,P,2200,2200,Sim
544,Complexo Esportivo Ulbra,Complexo Esportivo,Canoas,Rio Grande do Sul,Sul,P,10000,10000,Sim
545,Coronel Sílvio Luiz,,Camaquã,Rio Grande do Sul,Sul,P,3000,3000,Não
546,Das Cabriúvas,Cabriúvas,Encantado,Rio Grande do Sul,Sul,P,3000,3000,Não
547,Das Rosas,,Sapiranga,Rio Grande do Sul,Sul,P,5000,5000,Não
548,Dos Pinheirais,,Gramado,Rio Grande do Sul,Sul,P,1500,1500,Não
549,Dr. Mário Cini,Mário Cini,Nova Prata,Rio Grande do Sul,Sul,M,3000,3000,Não
550,Dr. Pedro Sander,,Canela,Rio Grande do Sul,Sul,P,3000,3000,Não
551,Edgar Leitão Teixeira,Tamoio,Viamão,Rio Grande do Sul,Sul,P,400,400,Não
552,Edmundo Feix,,Venâncio Alves,Rio Grande do Sul,Sul,P ,3000,3000,Sim
553,Estádio Beira-Mar,Municipal de Tramadaí,Tramandaí,Rio Grande do Sul,Sul,M,2000,2000,Não
554,Estádio do Vale,,Novo Hamburgo,Rio Grande do Sul,Sul,P,5196,5196,Sim
555,Eucaliptos,,Santa Cruz do Sul,Rio Grande do Sul,Sul,P,3000,3000,Sim
556,Eucaliptos,,Santa Maria,Rio Grande do Sul,Sul,P,4000,4000,Não
557,Florestal,,Lajeado,Rio Grande do Sul,Sul,P,3200,3200,Sim
558,Fonte Sarandi,,Sarandi,Rio Grande do Sul,Sul,P,2500,2500,Não
559,Francisco Emilio Trein,,Ibirubá,Rio Grande do Sul,Sul,P,3000,3000,Não
560,Francisco Stédile,Centenário,Caxias do Sul,Rio Grande do Sul,Sul,P,22132,22132,Sim
561,Homero Soldatelli,,Flôres da Cunha,Rio Grande do Sul,Sul,M,1500,1500,Não
562,João Corrêa da Silveira,Cristo Rei,São Leopoldo,Rio Grande do Sul,Sul,P,7800,10000,Sim
