id,nome,apelido,cidade,estado,regiao,proprietario, capacidade , oficial ,iluminacao
69,José Trindade Lobo,,Santo Antônio de Jesus,Bahia,Nordeste,M,3000,3000,Sim
70,Joviniano Otaviano Dourado,,Irecê,Bahia,Nordeste,M,6000,6000,Não
71,Juarez Barbosa,Barbosão,Itamaraju,Bahia,Nordeste,M,8000,8000,Sim
72,Junqueira Ayres,,São Francisco do Conde,Bahia,Nordeste,M,1622,3000,Sim
73,Lauro de Freitas,Itinga,Lauro de Freitas,Bahia,Nordeste,M,3000,3000,Sim
74,Lomanto Júnior,Lomantão,Vitória da Conquista,Bahia,Nordeste,M,11538,12934,Sim
75,Luiz Eduardo Magalhães,,Terra Nova,Bahia,Nordeste,M,1300,5000,Sim
76,Luiz Viana Filho,,Itabuna,Bahia,Nordeste,M,9200,9200,Sim
77,Luiz Viana Filho,,Pojuca,Bahia,Nordeste,M,3500,3500,Sim
78,Luiz Viana Neto,Bandarrão,Santo Estévão,Bahia,Nordeste,M,5000,5000,Sim
79,Madre de Deus,,Madre de Deus,Bahia,Nordeste,M,5000,5000,Sim
80,Manoel Barradas,Barradão,Salvador,Bahia,Nordeste,P,34535,35000,Sim
81,Mariano Santana,,Serrinha,Bahia,Nordeste,M,2034,6066,Sim
82,Mário Pessoa,,Ilhéus,Bahia,Nordeste,M,4297,5300,Sim
83,Ocival Rodrigues de Souza,Ocivalzão,São Desidério,Bahia,Nordeste,M,3500,3500,Sim
84,Octávio Mangabeira,Arena Fonte Nova,Salvador,Bahia,Nordeste,E,47907,50025,Sim
85,Ozório Ferraz de Oliveira,Ozorão,Itambé,Bahia,Nordeste,M,3000,3000,Não
86,Parque Santiago Compostela,Parque Santiago,Salvador,Bahia,Nordeste,P,2000,2000,Não
87,Pedro Amorim Duarte,,Senhor do Bonfim,Bahia,Nordeste,M,4193,4193,Sim
88,Pedro Caetano,,Ipiaú,Bahia,Nordeste,M,3000,3000,Não
89,Roberto Santos ,Pituaçu,Salvador,Bahia,Nordeste,E,32157,32157,Sim
90,Ruberiano Oliveira,,Paulo Afonso,Bahia,Nordeste,M,4000,4000,Sim
91,Waldomiro Borges,,Jequié,Bahia,Nordeste,M,3227,5000,Sim
92,Agenor Gomes de Araújo,Agenorzão,Iguatu,Ceará,Nordeste,M,3475,9715,Sim
93,Aguinaldo Alves,Rorizão,Jardim,Ceará,Nordeste,M,2000,2000,Não
94,Alberto Oliveira Sobrinho ,Betão,Pacatuba,Ceará,Nordeste,M,2000,2400,Não
95,Alberto Wagner,Albertão,Baturité,Ceará,Nordeste,M,3000,3000,Sim
96,Alcides Santos ,Alcides Santos,Fortaleza,Ceará,Nordeste,P,5500,7100,Sim
97,Antônio Cruz ,Uniclinic,Fortaleza,Ceará,Nordeste,P,1420,3000,Sim
98,Antônio de Paula Sales,,Uruburetama,Ceará,Nordeste,M,2000,2000,Não
99,Antônio Lírio Callou,Inaldão,Barbalha,Ceará,Nordeste,M,3400,5000,Sim
100,Antony Costa,,Fortaleza,Ceará,Nordeste,M,500,700,Não
101,Arena Mateus Aquino,Coliseu,Alto Santo,Ceará,Nordeste,M,3850,3850,Não
102,Capitão Tarcisio Araújo,Tarcisão,São Benedito,Ceará,Nordeste,M,1500,4000,não
103,Carlos de Alencar Pinto,Vovozão,Fortaleza,Ceará,Nordeste,P,1500,3000,Sim
104,Coronel Virgilio Távora,Virgilio Távora,Aracati,Ceará,Nordeste,M,2500,3000,Sim
105,Estádio M. de Quiterianopoles,Vieirão,Quiterianopoles,Ceará,Nordeste,M,8000,12000,Sim
106,Francisco Cardoso de Moraes,Moraisão,Maranguape,Ceará,Nordeste,M,1700,3700,Sim
